Folder,Status,PDFs Found,PDFs Copied
AMP5SIX4,no_pdfs,0,0
ANDWHBK3,processed,1,1
AQDTNKM9,processed,1,1
APREHU6U,processed,1,1
AQJJ86RR,no_pdfs,0,0
ARI2EW8X,no_pdfs,0,0
ANJM9JG5,processed,1,1
ARRAKM69,processed,1,1
AR74EDLN,no_pdfs,0,0
ASPVJKRL,no_pdfs,0,0
ATJPNDVX,no_pdfs,0,0
ATLIQJZY,processed,1,1
ATMSC64Y,no_pdfs,0,0
AS77D9IN,processed,1,1
ATYPQJFS,processed,1,1
AGKNZD5B,processed,1,1
AVU8BQQW,no_pdfs,0,0
AWXM8PZT,no_pdfs,0,0
AWZS8GLU,no_pdfs,0,0
AWEB5C73,no_pdfs,0,0
ASFDBJDW,processed,1,1
AXD52QYH,processed,1,1
AZ45PZ4B,no_pdfs,0,0
AXFQIVVH,no_pdfs,0,0
AXQ2UZML,processed,1,1
B28PW585,no_pdfs,0,0
AZ73ZU8I,processed,1,1
AZP2YMTQ,processed,1,1
9VRGHCHS,processed,1,1
B3GSJQL7,processed,1,1
B5858TLV,no_pdfs,0,0
AVHWRZWF,processed,1,1
B6D42E49,processed,1,1
B4EH44N9,processed,1,1
B5GY45NT,processed,1,1
AT36SRFH,processed,1,1
B6KFJ9D3,processed,1,1
B8DHRBEG,processed,1,1
B8PMSUGB,no_pdfs,0,0
B9JDPS6Y,no_pdfs,0,0
B8NNB9TN,processed,1,1
BAI8VXR5,no_pdfs,0,0
B87VLTQ6,processed,1,1
B3YIQQI5,processed,1,1
B8IH5GRA,no_pdfs,0,0
BB9WZAHG,processed,1,1
BD3WSXBF,no_pdfs,0,0
B3TMSYPZ,processed,1,1
BCNP5PYA,processed,1,1
BCTQ3I73,processed,1,1
BE9VCZAX,no_pdfs,0,0
BEHACXZ4,no_pdfs,0,0
BE6KT4QV,processed,1,1
BFH63P33,no_pdfs,0,0
BFMXHFL5,no_pdfs,0,0
BEV9AH7L,processed,1,1
BCW2D4CW,processed,1,1
BGLC9BM8,no_pdfs,0,0
BGM8WXSQ,no_pdfs,0,0
BGFIK9V3,processed,1,1
BCV5PQZQ,processed,1,1
BE7EQ2IH,processed,1,1
BGQXP3BS,processed,1,1
BF83HAUH,processed,1,1
BICT3NA5,no_pdfs,0,0
BHZ2RCKA,processed,1,1
BKMU8ZWJ,no_pdfs,0,0
BH8WNZU5,processed,1,1
BKRAMC5R,no_pdfs,0,0
BH7WGFFE,processed,1,1
BHFNS9B8,processed,1,1
BITKYYUV,processed,1,1
BJH8HADY,processed,1,1
BKPELM46,processed,1,1
BN9XA5X6,no_pdfs,0,0
BL2W8AMH,processed,1,1
BLWDE7Y2,processed,1,1
BRII3DGC,processed,1,1
BPA3DMLM,processed,1,1
BS55K8SZ,processed,1,1
BSA6H3LJ,processed,1,1
BMYCA6ZZ,processed,1,1
BQIP247Z,processed,1,1
BNJEUCDQ,processed,1,1
BTJBQ9M5,no_pdfs,0,0
BV2VWHKL,no_pdfs,0,0
BYCIFEKU,no_pdfs,0,0
BVISRUC7,processed,1,1
BYNIYRDS,no_pdfs,0,0
